text,label_gt
i noticed an extra 1 charge on my statement can you tell me why that is,34
there is an extra 1 charge,34
i need information about an extra 1 fee in my statement,34
why is there an extra 1 pound charge on my card,34
why are there so many fees on my statement,34
what would be the reason theres an extra fee on my statement,34
where did this 1 euro fee come from,34
i got a extra 1 fee in my statement,34
i have a 1 euro fee on my statement,34
why was i overcharged a pound,34
something went wrong i was charged an extra pound,34
where did the extra fee on my statement come from,34
there is an extra charge on my app that i was not told about or i was aware of,34
i am seeing an extra fee on my statement what is that for,34
what is this 1 fee in my statement,34
i am a new customer and i happened to look at my app and there is a charge i am not familiar with could you tell me why the extra charge is there,34
for some reason my accounts been charged an extra dollar,34
there is a transaction for 1 and i dont know why it was charged,34
can you help me with a weird charge its a pound charge that never goes away from the statement view on the app im using its not described as anything but pending and that status has never changed during the last two days,34
what is the purpose of the extra fee that is showing up on my statement,34
1 extra has been charged on my statement why is that,34
what is the extra 1 fee in my statement,34
its been two weeks why has the transaction for 100 not been reversed,34
what is the 1 fee for,34
im quite confused as to what is going on there is some odd extra pound charge on my statement in the app thats just listed as pending and doesnt go away since a couple days,34
can you please check why i am having this extra fee on my statement,34
my withdrawl is still pending why,46
my card was denied at an atm earlier today but the transaction is pending please cancel it as i did not receive my money,46
my transaction is still showing that is pending from my cash withdrawal,46
hey i tried to get some money out earlier but the machine didnt work now just saw the transaction still seems in progress can you please check whats going there seems something is broken i dont want to be charged for money that i havent actually received,46
how long does the cash withdrawal take to pend,46
why is it taking so long for my cash withdrawal to no longer show as pending,46
i tried taking money from the atm but no money came out but the transaction is still pending how is this possible,46
i got some cash of an atm earlier but this shows up as pending in the app how can this be still pending ive got the cash already,46
why is my withdrawal still pending,46
are you sure when the withdrawal will show,46
hi i was wondering if you can help me i used the city centre atm to get some cash but the machine declined my card my account shows that transaction is still pending i didnt receive the money so please cancel that transaction,46
why is a transaction showing as pending when i recieved cash from an atm,46
my cash in the atm is still pending,46
my atm cash out is still pending,46
i am still waiting for a cash withdrawal to show,46
is my pending cash withdrawal processed,46
how long til my cash out goes through,46
why is my atm cash withdrawal showing up as a pending transaction,46
hii tried to get some money out but the machine was not working the transaction still seems in progress can you please check whats going oni dont want to be charged for money that i did not received,46
hey my card was declined at an atm in the city centre theatre my account says the transaction is pending though i didnt get the money though so what does that mean,46
why do i have a pending cash withdrawal,46
i have a pending cash withdrawal,46
i made a withdrawal from my account but it has not posted,46
is my cash withdrawal pending,46
im not quite understanding why my cash withdrawal is showing as pending,46
i made a cash withdrawal but the pending status is taking forever,46
my cash withdrawal is still showing as pending,46
why am i unable to take money from my card but the statement says the transaction is still pending,46
why does my account have a pending cash withdrawal,46
i have a pending transaction in my app how is it still pending if i pulled the cash out from the atm earlier,46
cash withdrawal still pending,46
i received cash from the atm earlier but this shows up as pending in the app ive got the cash already how can this be still pending,46
i tried to take money from my card but it didnt work later i saw that the transaction is still in progress whats goign on,46
why does it say pending cash withdrawal on my statement,46
how long with my cash withdrawal stay pending for,46
wheres accounting for my cash withdrawal,46
my account was charged for a withdraw i tried to make that was decline,46
how long does it take to post atm with drawl,46
why is my cash withdrawal from the atm still not yet showing as confirmed in my account,46
whats a pending transaction my card was declined at an atm but my account says its still pending can i cancel the payment,46
if i request that my funds be held what currencies do you use,36
i want to know how many different currencies my money can be in,36
do you support all fiat currencies,36
does your system support multiple currency,36
what currencies can i hold money in,36
do you support any currency,36
there is an incoming payment into my account but it is deactivated will they still be processed,36
what currencies do you do exchanges for,36
in terms of holding and exchange what fiat currencies do you use,36
what fiat currencies are used for holding transactions,36
where can i exchange my money for eur,36
is it permissible to hold money in multiple currencies,36
can i exchange to eur,36
can someone assist me with the details explaining which fiat currencies that you support,36
do you offer additional currency options,36
how do i change currencies to euros,36
what fiat currencies are supported for holding and exchange,36
when considering currency holdings and exchanges what fiat currencies are supported,36
will you handle eur,36
can i hold money in other currencies,36
what options do i have for holding currencies,36
do you happen to do exchanges of eur,36
do you accept exchanges to eur,36
can you tell me what currency i can have,36
am i able to exchange currencies,36
what currencies are used in your exchange,36
which fiat currencies do you support,36
which countrys currency do you support,36
i want to make a currency exchange to eu,36
can i exchange and hold all fiat currencies,36
what kind of currency can i hold money in,36
can i exchange currencies,36
do you work with all fiat currencies,36
can i hold money in multiple currencies,36
how man currencies can i hold,36
besides usd what other currencies can i have,36
how do i accept exchanges to eu,36
what kind of fiat currency can i used for holding and exchange,36
do you support the exchange of eur from my currency,36
what countries can i travel to and have access to their currencies,36
i need my card now,12
my card was not in the mail again can you advise,12
i need my card quick,12
how long will it take to get to me,12
im just wondering when my card will get here,12
can you get me my card fast,12
how long will it take to deliver something to us,12
i live in the us how long will it take for delivery,12
when can i expect my card to be delivered to the us,12
i need my card quickly,12
does delivery to the us take long,12
how long will it take to arrive,12
can i have my card delivered on a specific day,12
what is the difference between standard and express delivery,12
can it be delivered by a specific date,12
may i choose when its delivered,12
i need it delivered on a certain date,12
when should i expect my card,12
how long does it take to get my card can i choose when to receive it,12
how long will it take for the card to arrive,12
how fast can you deliver,12
ordered awhile back what is the eta in the us,12
how long should i expect for the card to arrive,12
whats the delivery time to the united states,12
when will the card arrive,12
send my card as soon as you are able to,12
when are cards delivered,12
how long does shipping take to get to a us destination,12
can i get my card expedited,12
how long until my card is delivered,12
i need my card to come as soon as possible,12
when can i expect to receive my new card,12
i am waiting for my card to arrive,12
i need my card as soon as possible,12
i need it delivered by saturday,12
whats the us delivery time,12
when will my card arrive,12
can i choose a date for delivery,12
can i make sure my card is delivered on a specific day,12
can i have it be delivered at a certain time,12
when traveling can i auto topup my card at certain times,4
is there a limit when using auto topup,4
will it automatically topup or do i need to do that manually if there isnt much cash left,4
im running out of money can i auto top up,4
how do i use auto top up,4
can it automatically topup money if there isnt much left,4
if there isnt much money left can it automatically topup,4
i read about the autotop up function but cant find it in the app,4
can i have it add money at certain time intervals when i travel,4
im going to be away for awhile can i have it add money automatically in certain intervals,4
where can i find the autotop feature,4
i just activated auto topup but it is not letting me enable it why not,4
is there an auto topup option,4
where is thefttop option,4
are there limits on auto topup,4
can you assist me with the auto top up,4
do you have any limit on the auto topup,4
why are there limits on auto topup,4
how can i top up automatically,4
how do i make sure i dont run out of money on my card while traveling,4
whats the limit on automatic topup,4
if i will be traveling is there a way to auto topup my card on certain days,4
where is the auto topup option,4
can i have a auto topup when my account is short,4
do you have an auto topup option,4
can i space out how often money is transferred along my travels,4
will it automatically topup money if there isnt a lot left,4
can i have it add money automatically in certain intervals,4
can i set up an automatic topup for travel,4
ive tried looking for the autotop up option on your website and i cant seem to find it can you help me,4
how do i top up my money automatically,4
can i be topped up once i hit a certain balance,4
will it automatically topup if there isnt much money left,4
is there any way to auto topup,4
can you explain where i can find the autotop option,4
what is the auto top up function and where can i find that at,4
is there a way to topup automatically,4
is there a topup feature if there isnt a lot of money left,4
what is the highest limit for auto top,4
how do i enable autotop up,4
ive tried my card a bunch of times and it never worked,14
i cant get my card to work,14
my card appears to be broken how can i fix it,14
how do i know why my card isnt working,14
my card broke,14
my card wont work,14
why is my card not working,14
can you please identify the problem with my bank card,14
how do i unblock my card using the app,14
my card does not work,14
how can i get my physical card to work,14
can someone assist me by explaining why my card is not working,14
help me my card doesnt work,14
can a card stop working,14
i think my card is broken,14
why isnt my card working,14
my card isnt working anymore,14
my card was declined today when eating and i need to know whats wrong,14
my card doesnt work,14
how can i resolve a problem where my card wont go through at all,14
my actual card isnt working,14
is my card broken,14
i broke my card,14
my card stopped working,14
my card is broke what do i do,14
i tried using my card today and its not working can you help me,14
my card stopped working when i use it,14
i cant use my card,14
need help with my card its not working,14
i cannot use my card,14
the card ive got seems to be broken,14
my card isnt working,14
my card suddenly quit working,14
i have tried to use my card several times and it does not work,14
the card i have doesnt work,14
my card doesnt accept any transaction at all whats wrong,14
how can i check if my card is working,14
nothing goes through on my card,14
how do i find out why my card wont work,14
could it be that i deactivated my card its not working,14
may i exchange currencies with this,33
tell me how i can exchange between different currency,33
can i change from one currency to another,33
how do i change gbp to aud,33
will this app exchange currencies,33
how do i convert currencies with the app,33
how are currencies exchanged,33
can i exchange currencies with this app,33
how do i make an exchange from one currency to another,33
how do i interconvert between aud and gbp,33
what all currencies can be exchanged,33
what is the best way to exchange currency between usd and gbp using your app,33
if i wanted to make a change from gbp to aud what is the process,33
can i get some money exchanged,33
is it possible to change to another currency,33
how do i exchange my gbp to aud,33
how would i use my money in a different country,33
if i receive foreign currencies am i able to exchange them on the app,33
can i change to another currency,33
i need aud not gbp how do i change it,33
what is the best way to exchange currency,33
if i need gbp instead of aud what do i do,33
i was wondering whether exchanging currencies can be done on this app,33
i might need aud instead of gbp how to change,33
how do i go through the process of currency exchange,33
change currency,33
can am i able to exchange currencies,33
where do i go to change gbp,33
what currencys can i exchange for,33
what currencies will this app exchange,33
can this app help me exchange currencies,33
i would like to exchange some currency,33
can i exchange between gbp and usd on the app,33
is there currency exchange on this app,33
can i change my currency from usd to eur,33
i think i want aud and not gbp can you help,33
how do i exchange currency,33
can i use this app to change dollars into euros,33
can i exchange currencies with my account,33
i would like to exchange currencies,33
my entire gym bag including my wallet was stolen out of my locker today everything in my wallet is gone how do i block the card to make it cant be used,41
i cant find my card and think it may have been stolen,41
someone stole my card i need to report it stolen i made a police report already but how do i report it with you,41
i cant find my card its gone,41
my card is lost what can i do,41
i lost my card,41
oh no i lost my card help,41
i believe my card has been stolen what can i do about this situation its urgent,41
help someone stole my card,41
help i have a stolen card,41
card is lost please help,41
how do i report my card stolen,41
my card is gone i think it was stolen,41
is a copy of the police report necessary for completing the report process,41
i lost my wallet today with all my credit cards will you please block the card and send a replacement,41
how do i deal with a stolen card,41
can you freeze my card it was stolen,41
help i cant find my card,41
what should i do if i lost my card,41
i need help with a lost card,41
i think my card was stolen,41
someone stole my wallet earlier today not sure exactly when probably on piccadilly circus can you check if there were any attempts to use the card and obviously block it,41
i think i lost my card i dont know how long it has been missing can you see if maybe someone else has been using it,41
how can i freeze a stolen card,41
what should i do if my card is missing,41
my bags were stolen i need a new card but need to cancel the stolen one,41
somehow i am missing my card what should i do,41
my card was taken from me,41
my card got lost,41
some idiot stole my card,41
how do i report my card lost or stolen,41
my card is lost what do i do now,41
im in spain and my stuff has been stolen my card was with it and i need a new one shipped and the old one frozen,41
i believe my credit card was stolen,41
how do i report a stolen card,41
somebody has stolen my card i need help please,41
i cannot find my credit card,41
are you able to locate my card,41
my card got stolen,41
help me please my card was stolen,41
how old do i need to be to get an account for myself,1
how young can i be to open my own account,1
how old do i have to be,1
can i open an account for a child,1
how old do we have to be,1
how do i go about setting up an account for my daughter,1
is there an age minimum,1
what is the youngest age in order to have an account,1
what age do i have to be,1
can my daughter open an account,1
what is the minimum age to open an account,1
what is the minimum age,1
i am only 17 can i make an account,1
could i open an account for my children,1
what is the age to open an account,1
how do i open up an account for my child,1
can i open a bank account for my newborn baby,1
how old do i have to be to open an account,1
do you offer services for children to have money saving experience,1
if my kids wanted to use your service how old would they have to be,1
can my 19 year old daughter open a savings account at the bank,1
how old do you have to be to get an account,1
whats the minimum age for opening an account,1
i would like an account for my children how do i go about doing this,1
can my children have their own account,1
is it possible to open an account for my children,1
do my kids have to be a certain age to use this service,1
how old do you have to be to be able to open an account,1
is there an age limit,1
what are the age requirements for opening an account,1
will i be able to open an account for my daughter,1
how old do i need to be to open an account,1
what age can sign up for services,1
how old do my kids have to be to use your service,1
what age do my kids need to be to use your service,1
how old do my children need to be to open an account,1
how old does my kids need to be to open an account,1
how young can someone be in order to open an account,1
what is the youngest someone can be to open an account,1
how old does one have to be to have an account with the bank,1
how do i get my pin unlocked,49
where can i view my pin,49
will you reinstate my pin,49
i accidentally blocked my pin how do i reset it,49
how do i unblock my pin after entering it wrong too many times,49
i used the wrong ping too many times and now the account is blocked how do i unblock,49
i need help because i drunken blocked my card,49
how do i reset my pin i cant seem to use my card,49
when i put the wrong pin too much i got blocked so can you help me unblock my pin,49
my pin was blocked how do i make it so i can use it,49
how many tries do i have to enter my pin before im blocked,49
what should i do if ive tried to enter my pin too often,49
i have exceeded the number of times i can try my pin,49
how can i unblock a blocked pin number for my account,49
what do i do if the bank machine wont accept my pin attempts anymore,49
can you unlock my pin i think i entered the wrong pin too many times,49
how do i deal with a blocked pin,49
i attempted to use my card while i was intoxicated and i failed to input my pin and the machine kept my card how soon can i have it back,49
can i unblock my card using the app,49
iv exhausted all the of times i can try my pin,49
how can i unlock my pin from too many tries,49
help i forgot my pin and have been locked out of using my card,49
my account is blocked how do i log in now,49
why did i get blocked,49
are you able to unblock my pin,49
can you assist me with unblocking my pin i put it in wrong too many times,49
i entered the wrong pin too many times and now i am blocked help me unblock,49
my pins seems to be blocked can you unblock it please,49
can you unblock my pin after too many wrong pin attempts,49
what can you do to unblock my pin,49
my pin is blocked what do i do,49
can i reactivate my pin,49
how do i reset my pin,49
can i unblock my pin,49
how do i unblock my pin,49
my cards frozen what can i do,49
how can i unlock the pin,49
since my pin is blocked would you help me unblock it,49
my pin is not working and i need assistance,49
where can i get my pin unblocked,49
are contactless payments enabled on my new card,23
my contanctless has stopped working,23
what is required documents for new card process,23
i dont know whats wrong my contactless stopped working tried it in a few different places today and it didnt work in any of them,23
how do i get the contactless feature to work for my card,23
i tried to pay contactless at the bus today and it didnt work any ideas why,23
ive been unable to pay contactless with my card for over a week now is there a way to fix this issue,23
do you know why my contactless wont work,23
my contactless payments have not been completed successfully,23
do i need to replace my card if it didnt work when i tried to pay contactless at the shop today,23
for some reason my contactless has stopped working i dont know what the problem is what can i do,23
i couldnt use my contactless this morning it wasnt accepted,23
contactless isnt working for me,23
why wouldnt the contactless payment work when i tried to pay at the bus today,23
how do i check my security settings to allow contactless pay,23
what can i do if contactless doesnt work,23
fix my contactless,23
how can i make my contactless work for the metro,23
my contactless is not working,23
can you help my fix my contactless,23
for some reason my contactless wont work for me,23
im unable to use contactless payments for purchases,23
when i tried to pay for my bus ride the contactless payment wouldnt work how can i prevent this in the future,23
the nfc payment wouldnt work on the bus today help,23
i wanted to use my card contactless but it doesnt seem to be working what could be the problem,23
how do i make contactless work,23
what is the charges for new card,23
the contactless i have wont work,23
why isnt my contactless not working,23
i wanted to use my contactless at the metro today but it didnt accept it,23
it didnt work when i tried to pay contactless at the bus today why,23
i am not able to do contactless,23
how do i use contactless payments,23
help me with my contactless which isnt working,23
how can i fix a problem where contactless isnt working,23
how do i use contactless pay,23
how do i enable contactless pay,23
do i need to make a regular payment before a contactless one,23
how can i find out where my contactless works,23
should i reinstall the payment app,23
how much do you charge to accept transfers,56
i would like to make a transfer how much does it cost,56
i need to make a transfer what will the fee be,56
if i make a topup are there charges applied,56
can i also transfer with swift,56
are swift transfers accepted,56
i would like to refill my account using swift,56
do i have to pay for topping up by transfer,56
are there any sort of fees involved for top of transfers,56
is it possible to get a transfer from swift,56
do i have to pay any fees in order to receive money,56
how much am i charged to receive money,56
will you deal with swift transfers,56
will there be any charges for money received,56
will a transfer incur a fee,56
are there charges for receiving a sepa transfer,56
if i transfer money from my bank to topup my account will i be charged,56
will i be charged if someone needs to send me money,56
what are the fees for topups,56
will topping up by transfer lead to a charge on my account,56
what are the charges for receiving money,56
what is the fee to receive money,56
how much am i charged for a sepa transfer,56
how much is the fee for a sepa transfer,56
whatll it charge me for a sepa transfer,56
is there a charge for topping up by transfer,56
do you do swift transfers,56
should i expect to be charged for topping up by transfer,56
will i be charged for a sepa transfer,56
is there a fee for a transfer if so how much will it be,56
please tell me about swift transfers at this bank,56
is there a fee for transfer topup,56
can you tell me what the transfer policy is,56
is a swift transfer okay,56
will i be charged a fee if i receive a sepa transfer,56
when topping up by transfer will i be charged,56
what us the fee to transfer money from my bank,56
do i get charged if i am getting money,56
can you tell me the total cost of a transfer,56
can i do a transfer with swift,56
new customer and filling gas today its not working the thing shows pending half an hour,47
my card was topped this morning but i cant see the funds why didnt it complete,47
what would lead to my top up still pending,47
theres a delay in my topup,47
is there a reason my top up hasnt gone through,47
the topup is pending,47
could you explain why my topup has gone through yet,47
ive already topped up but i cannot see the funds being available what happened,47
what is going on my topup is still pending i use your system all the time but now it is just showing as pending,47
i do not see a topup processed,47
i topped up but it didnt complete,47
so i am a new customer and attempted to top up for the very first time today its already been pending for half an hour and doesnt seem to be working i need to please get this fixed,47
my top up is pending,47
can you look into my top up please i made it over three hours ago and yet its still pending,47
can you please make my top up go through as soon as possible i really need the money and it has been pending for an hour already,47
whats going on with the topup all it says is pending pending pending i use your service several times a week and have never had a problem before whats going on here,47
why hasnt my top up gone through yet,47
topup is slow to process,47
is there something wrong with your website i tried topping up my account and its been close to two hours now and its still at pending for some reason i just joined with you guys and this is the first attempt at this so maybe im wrong but shouldnt this be instant,47
i topped up by card a while ago and its still pending surely it should be done by now,47
why hasnt my topup been completed,47
top up did not complete,47
so i just put my topup into the card and it hasnt changed,47
why is my top up still pending,47
your topup function isnt working it still says pending even though i know my card works,47
hi im a new customer and tried topping up for the first time today seems its not working the thing shows up as pending since half an hour already please fix it,47
omg im trying to load my card and it wont top up i desperately need the money either on my card or in my bank where is it,47
im attempting to topup my account but it has been pending for an hour,47
why is my topup still outstanding,47
what does it mean when my top up is saying still pending,47
my top up hasnt worked its been stuck in pending for the last couple hours,47
it doesnt look like the topup completed,47
why does my top up say still pending when i used my card to do it,47
where is the money i topped off with,47
hi im a new customer to your system and i think something isnt working right or maybe it is maybe you can confirm i tried to top up today my first time ever and its been stuck at pending for over an hour now is it supposed to do this or is there something wrong in the system,47
why is my topup still pending,47
topping up my card is not working because i believe the top up is pending,47
when will my topup process,47
the topup has a definite problem i regularly use your service and havent had a problem before but now the topup just shows pending please tell my why it continues to show pending,47
i tried topping up but my funds seem to be pending i want to buy something right now what do i do,47
i made a transaction this morning and would like to revert it,8
can i cancel a charge,8
can i cancel my transaction,8
i made a transaction but did it to the wrong account,8
tell me how to cancel a transfer,8
i need you to cancel a transfer that i made it is the wrong account number and the app wont let me stop the transaction please stop it,8
i need to cancel my recent transfer immediately i made a mistake there please help quickly before it goes through,8
i would like to revert a transaction i did this morning,8
if i make a transaction can i cancel it,8
how can i cancel a transfer,8
is there any way to cancel a transfer,8
i accidentally made a transaction to the wrong account,8
i want to cancel a transfer right away can you help,8
help me cancel my transaction,8
this is urgent i typed the wrong payment information for a payment i needed to make and have clicked send i need to reverse the transaction immediately,8
can i cancel a transfer,8
i want to reverse my transaction from earlier,8
is there a way to revert my transaction from this morning,8
id like to cancel a transfer,8
can i cancel a transfer if is already processed,8
i transferred the wrong amount and would like to cancel the transaction,8
i made a mistake when i did a transfer so now what can i do to fix that,8
i need to cancel an incorrect transaction,8
how do i cancel my transfer,8
i made a mistake with a transaction,8
i submitted a transaction to the incorrect account,8
the transfer i just made needs to be cancelled right now it was my mistake please help me cancel it before it goes through,8
i want to go back on what i did this morning,8
can a transaction be cancelled,8
how do i cancel my transaction,8
my transaction needs to be canceled,8
i need to make an immediate cancellation related to a transfer this was a mistake please assist quickly so this does not actually go through,8
i made a mistake and need to cancel a transaction,8
i made an error in payment yesterday and i need it fixed asap because its for my rent tomorrow,8
cancel my last transfer,8
my recent transfer needs to be cancelled immediately it was a mistake please can you cancel it before it goes through,8
i need help cancelling a transaction,8
i dont want the transaction to go through now,8
can i change the amount i made on a payment that i made to the payment is correct,8
please help me i need to cancel a transaction,8
can you limit my top up,60
am i free to topup as much as i want,60
is there a top up limit for my account,60
what is the limit to top up,60
how much money can i top up,60
what are the restrictions to topoffs,60
are the topups limited,60
what is the top up limit,60
i need to find out what is the limit for topups,60
do you have a limit to top ups,60
what is maximum top up,60
how can i tell what the limit is to topups,60
is there a limit to topup amounts,60
is there any limit to the amount i can add to a card at a time,60
i want to know if there is a maximum i can top up,60
what is the limit to a topup,60
tell me if there are any topup limits,60
how can i topup my limit,60
is there a limit to topups,60
can i topup as much as i want,60
can you tell me the limits for top ups,60
when i top up what are the amoutn limits,60
is there a limit on topups,60
what is the topups limit,60
are there limits to topups,60
is there a maximum amount of topups,60
do you have a topup limit,60
whats the top up limit,60
what is the limit to topup,60
how much can i topup to my card at a time,60
how much can i top up,60
what is the most i can top up,60
is there a limit to how high i can topup,60
is there an amount limit to my topup,60
is there a limit for topups,60
is there a maximum i can top up,60
how can i tell if there is a topup limit,60
do you have any restrictions to my topup,60
as for limits are top ups included,60
what are the topup limits,60
i dont know if this is an issue with the atm or my account but i just tried withdrawing 30 pounds from the atm im at now and it only gave me 10 is this a glitch or what exactly is going on,75
i didnt get all the cash i requested for at the atm,75
how come the atm gave me less cash than what i asked for,75
why did i not get my cash back after i withdrew,75
i got less cash than the one i specified in the atm,75
the amount of cash i received was incorrect,75
im at an atm and withdrew 30 pounds and was only given 10 what should i do,75
the atm gave me the wrong amount of cash today when i went to withdraw the app says it was more,75
the amount of cash i received was different than what i requested,75
hi i just withdrew cash from an atm and received the wrong amount however my app shows the correct amount i withdrew how do i get the rest of the cash,75
the wrong amount of cash came out of the atm today when i went to withdraw when i looked at the app it was showing it was much more,75
i did not get as much cash as i requested at the atm,75
how can i request cash back the atm just gave me the wrong amount the app shows the amount that ive been actually charged though,75
where is the money i pushed its on my mobile app as being withdrawn,75
why did i not get all the cash i asked for,75
my cash withdrawal was partly declined,75
why did i only get 20 when i tried to get 100,75
i have withdrawn cash from atm but i received the wrong amount i want cash back as in app its showing actual amount which i got please help me in this,75
i went to withdraw some cash earlier today but seems the atm gave me the wrong amount of cash the amount showing up in the app is a lot more,75
i tried to get 100 but i just got 20,75
i have not received the amount of cash i was supposed to,75
i asked for 100 cash but only got 20,75
where is the money that i asked for i asked for more than i got,75
i withdrew money but the full amount wasnt dispensed,75
